candidate    	206151047
P	0.358442147827	(None, None)
mt	0.18210922	(0.00087111, 0.00130666)
mt_bjd	2457015.6764	(0.00087111, 0.00130666)
rp	0.01378	(0.000755, 0.002077)
a	4.359444	(0.914389, 1.67638)
i	90.96738	(8.263495, 8.263495)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.367467	(None, None)
ldc2	0.576462	(None, None)
ldc3	-0.240061	(None, None)
ldc4	0.00641	(None, None)
L0	0.0	(None, None)
N0	1.000011	(4e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.939	(0.871,0.93)
star-r_sun        	1.23	(0.55,0.55)
total_duration_hrs 	0.631	(0.158,0.214)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.1821501693317596	(0.000864,0.001152)
EVEN_radius_ratio 	0.0136	(0.0007,0.002)
EVEN_a_over_R_star	4.311	(1.0534,1.5048)
EVEN_inclination  	88.767	(7.4958,1.3629)
ODD_midtime       	0.18240343338572765	(0.001043,0.001192)
ODD_radius_ratio  	0.0138	(0.0008,0.0021)
ODD_a_over_R_star 	4.2771	(0.8811,1.6154)
ODD_inclination   	89.678	(7.3554,0.0)
EVEN_RR - RR      	0.000168	0.002891
ODD_RR - RR       	-1e-05	0.002942
ODD_RR - EVEN_RR  	0.000178	0.002895
EVEN_RR - RR sigma	0.06
ODD_RR - RR sigma 	-0.0
ODD_RR - EVEN_RR sigma	0.06
