Candidate	Period_hr	Period_d
201182911	23.9164583036	0.996519095982
201184068	19.0623363478	0.794264014491
201523873	14.8845280287	0.620188667862
201563164	4.49891605993	0.18745483583
201607088	12.7423153427	0.530929805946
201649211	4.79353448005	0.199730603335
201680569	9.41801748028	0.392417395012
201691826	10.7928270613	0.449701127555
201740472	23.0095848684	0.95873270285
201810513	19.7596644327	0.823319351364
201843069	13.1618806367	0.548411693194
201848566	11.4823549925	0.47843145802
201893576	11.1563845355	0.464849355646
201903318	4.68022989681	0.195009579034
