candidate    	212624936
P	0.578657087238	(None, None)
mt	0.27463828	(0.00222031, 0.0025375)
mt_bjd	2457232.53108	(0.00222031, 0.0025375)
rp	0.011439	(0.000707, 0.00106)
a	2.954753	(0.624602, 0.416402)
i	90.270107	(12.910516, 14.754875)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.347484	(None, None)
ldc2	0.57625	(None, None)
ldc3	-0.185937	(None, None)
ldc4	-0.022673	(None, None)
L0	0.0	(None, None)
N0	1.000016	(4e-06, 6e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.171	(0.261,0.275)
star-r_sun        	0.93	(0.2,0.2)
total_duration_hrs 	1.601	(0.238,0.533)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.2743141616317568	(0.001909,0.002863)
EVEN_radius_ratio 	0.0114	(0.0007,0.0011)
EVEN_a_over_R_star	2.9448	(0.6012,0.4008)
EVEN_inclination  	88.728	(12.492,1.1356)
ODD_midtime       	0.27429083167550067	(0.001914,0.002871)
ODD_radius_ratio  	0.0114	(0.0007,0.001)
ODD_a_over_R_star 	2.9557	(0.6005,0.4003)
ODD_inclination   	88.332	(12.376,1.1251)
EVEN_RR - RR      	8.4e-05	0.001498
ODD_RR - RR       	4.2e-05	0.001492
ODD_RR - EVEN_RR  	4.2e-05	0.00149
EVEN_RR - RR sigma	0.06
ODD_RR - RR sigma 	0.03
ODD_RR - EVEN_RR sigma	0.03
