candidate    	210801536_p2
P	5.04415528862	(None, None)
mt	2.53047872	(0.00625414, 0.0093812)
mt_bjd	2457102.84382	(0.00625414, 0.0093812)
rp	0.012571	(0.001726, 0.001973)
a	16.061204	(5.027009, 8.378349)
i	90.155113	(2.174386, 2.795639)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.522674	(None, None)
ldc2	-0.118063	(None, None)
ldc3	0.751729	(None, None)
ldc4	-0.385069	(None, None)
L0	0.0	(None, None)
N0	1.00001	(3e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.186	(0.24,0.383)
star-r_sun        	0.85	(0.09,0.28)
total_duration_hrs 	2.298	(0.685,1.172)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	2.5316597951506092	(0.007339,0.008387)
EVEN_radius_ratio 	0.0122	(0.0015,0.0022)
EVEN_a_over_R_star	16.7369	(4.9729,7.4593)
EVEN_inclination  	89.585	(2.2586,0.4107)
ODD_midtime       	2.5296120058322917	(0.006311,0.009467)
ODD_radius_ratio  	0.0121	(0.0015,0.0022)
ODD_a_over_R_star 	15.861	(5.1665,7.7498)
ODD_inclination   	89.826	(2.3464,0.2133)
EVEN_RR - RR      	0.000382	0.002945
ODD_RR - RR       	0.000468	0.002955
ODD_RR - EVEN_RR  	-8.7e-05	0.003102
EVEN_RR - RR sigma	0.13
ODD_RR - RR sigma 	0.16
ODD_RR - EVEN_RR sigma	-0.03
