candidate    	212157262_p4
P	13.6066287952	(None, None)
mt	6.82237515	(0.00273609, 0.00312696)
mt_bjd	2457155.08495	(0.00273609, 0.00312696)
rp	0.020599	(0.000772, 0.001699)
a	27.757743	(6.23671, 1.700921)
i	90.073935	(1.622007, 1.419256)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.583751	(None, None)
ldc2	-0.26809	(None, None)
ldc3	0.90132	(None, None)
ldc4	-0.438451	(None, None)
L0	0.0	(None, None)
N0	1.00002	(3e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.909	(0.269,0.288)
star-r_sun        	0.83	(0.11,0.11)
total_duration_hrs 	4.134	(0.436,1.444)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	6.8222393640421695	(0.002681,0.003065)
EVEN_radius_ratio 	0.0207	(0.0007,0.0016)
EVEN_a_over_R_star	28.3231	(5.5013,1.5004)
EVEN_inclination  	89.769	(1.2448,0.2263)
ODD_midtime       	6.822578773223926	(0.003109,0.00272)
ODD_radius_ratio  	0.0207	(0.0007,0.0015)
ODD_a_over_R_star 	28.1131	(5.3366,1.9406)
ODD_inclination   	89.758	(1.2016,0.2185)
EVEN_RR - RR      	-5.3e-05	0.002339
ODD_RR - RR       	-0.000103	0.002289
ODD_RR - EVEN_RR  	5e-05	0.002223
EVEN_RR - RR sigma	-0.02
ODD_RR - RR sigma 	-0.05
ODD_RR - EVEN_RR sigma	0.02
