#epic_num, bper, bpow, depth, qtran, in1, in2
205901524, 0.5287212479, 0.0000257312, 0.0000517080, 0.451327, 42, 87
205901703, 2.7823949541, 0.0000076045, 0.0000164967, 0.306326, 16, 46
205901713, 0.6528466963, 0.0000330044, 0.0000666731, 0.429594, 57, 99
205901944, 1.0344863262, 0.0000176696, 0.0000418891, 0.231542, 14, 36
205901983, 2.9726488951, 0.0000427066, 0.0002160987, 0.040713, 14, 17
205902142, 0.2750504310, 0.0000313314, 0.0000676575, 0.311453, 20, 50
205902289, 0.3008756357, 0.0000262560, 0.0000548378, 0.355932, 55, 90
205902352, 0.9071307609, 0.0000210334, 0.0001091076, 0.038657, 94, 97
205902368, 0.5169846440, 0.0000266462, 0.0000551829, 0.370242, 38, 74
205902410, 0.6083843751, 0.0000209878, 0.0000468433, 0.278059, 14, 41
205902486, 0.5184231447, 0.0000273452, 0.0000650608, 0.229174, 31, 53
205902563, 0.9793339863, 0.0000287462, 0.0000730628, 0.191453, 78, 96
205902815, 0.3018505288, 0.0000099537, 0.0000998673, 0.010035, 81, 81
205902846, 0.2585814527, 0.0000134318, 0.0000268677, 0.491204, 72, 20
205902984, 2.9726488951, 0.0002370403, 0.0011989523, 0.040748, 13, 16
205903013, 0.6384649767, 0.0000158882, 0.0000516521, 0.105815, 82, 92
205903167, 0.7328137978, 0.0002157190, 0.0005418393, 0.197514, 60, 79
205903217, 0.1594058880, 0.0000096738, 0.0000705129, 0.019190, 33, 34
205903268, 0.5738526582, 0.0004761963, 0.0010668282, 0.274707, 41, 68
205903279, 0.6528466963, 0.0001691652, 0.0003941904, 0.243419, 59, 82
205903300, 0.2517434981, 0.0000471669, 0.0001836874, 0.070972, 91, 97
205903477, 0.6521937644, 0.0000160001, 0.0000321204, 0.456807, 58, 2
205903523, 0.1526339624, 0.0005892841, 0.0027159096, 0.049531, 81, 85
205903692, 0.7929630707, 0.0000383476, 0.0000816209, 0.328934, 66, 98
205903713, 0.1456617590, 0.0000731017, 0.0002245956, 0.120445, 54, 65
205903781, 0.5741052632, 0.0002472198, 0.0004944423, 0.498318, 13, 62
205903903, 0.5676089918, 0.0000238273, 0.0000477019, 0.477763, 82, 29
205904010, 1.5512747582, 0.0000156352, 0.0000578314, 0.079398, 16, 23
205904047, 0.5310895507, 0.0001544181, 0.0005415711, 0.089268, 46, 54
205904095, 0.9815451065, 0.0000144013, 0.0000366005, 0.191489, 60, 78
205904127, 0.6793721973, 0.0000275043, 0.0000599637, 0.300977, 67, 96
205904220, 0.1407569729, 0.0007462834, 0.0021489906, 0.140275, 74, 87
205904260, 1.0104422811, 0.0000099923, 0.0000287855, 0.140138, 62, 75
205904274, 0.8531327323, 0.0000306167, 0.0000625133, 0.399340, 46, 85
205904494, 0.6525200670, 0.0000177124, 0.0000354742, 0.473648, 55, 1
205904592, 0.4863326848, 0.0000165525, 0.0000638026, 0.072572, 19, 25
205904628, 2.4949679780, 0.0000106614, 0.0000447559, 0.060393, 16, 21
205904697, 1.0605642766, 0.0002699276, 0.0006061919, 0.272575, 48, 74
205904816, 0.9563540139, 0.0000148589, 0.0000328219, 0.287745, 16, 44
205904844, 2.0876191802, 0.0000246885, 0.0001265696, 0.039617, 55, 58
205904964, 0.1749279808, 0.0000099836, 0.0000306648, 0.120523, 49, 60
205905024, 0.7279058481, 0.0000748664, 0.0001632295, 0.300918, 40, 69
205905085, 0.3103255641, 0.0000163438, 0.0000331074, 0.420638, 60, 1
205905204, 0.2593527637, 0.0000748994, 0.0001504472, 0.453627, 73, 17
205905261, 1.0239281813, 0.0001818222, 0.0003729963, 0.388739, 11, 49
205905303, 0.2845313300, 0.0001847752, 0.0010708363, 0.030718, 67, 69
205905309, 0.4676727834, 0.0012449562, 0.0041412672, 0.100467, 42, 51
205905356, 1.0080992069, 0.0000188920, 0.0000384234, 0.409168, 52, 92
205905563, 0.5494358561, 0.0092727773, 0.0185523767, 0.513558, 95, 45
205905604, 0.5173948290, 0.0000233362, 0.0000475013, 0.407001, 30, 70
205905673, 2.8003174010, 0.0000658968, 0.0004053614, 0.027165, 95, 97
205905688, 0.9734860778, 0.0002828885, 0.0006077567, 0.317397, 72, 3
205905693, 0.4883357481, 0.1110179158, 0.2222795064, 0.523406, 25, 76
205905919, 2.1602333285, 0.0000705403, 0.0002093419, 0.130600, 49, 61
205905922, 2.2692336788, 0.0002089005, 0.0008737870, 0.060861, 21, 26
205906121, 0.5151468315, 0.0003022010, 0.0006050299, 0.522773, 1, 52
205906140, 0.6463756249, 0.0002591940, 0.0008673468, 0.099129, 46, 55
205906154, 0.1911294331, 0.0000128950, 0.0000359363, 0.151804, 42, 56
205906244, 1.1314072342, 0.0000183690, 0.0000453285, 0.207119, 41, 61
205906246, 0.3068213201, 0.0002184284, 0.0005821646, 0.169509, 35, 51
205906302, 0.3445079934, 0.0202210542, 0.0453683265, 0.273408, 6, 34
205906310, 2.9591595146, 0.0000076298, 0.0000352729, 0.049210, 18, 22
205906385, 2.8871029836, 0.0000255803, 0.0000513547, 0.456574, 18, 63
205906390, 0.5180113283, 0.0001368736, 0.0003479700, 0.191331, 33, 51
205906443, 0.4955724434, 0.0004943501, 0.0009889521, 0.511283, 95, 45
205906626, 0.8052021259, 0.0001414775, 0.0002831640, 0.519205, 3, 54
205906794, 1.0763186222, 0.0001870261, 0.0003819289, 0.398978, 21, 60
205906828, 0.1623425120, 0.0002829605, 0.0027444737, 0.010745, 25, 25
205907051, 0.6658453752, 0.0000298483, 0.0000623589, 0.355465, 72, 7
205907116, 0.2581208643, 0.0002117693, 0.0009627848, 0.050979, 26, 30
205907133, 0.7441023987, 0.0001708677, 0.0003426613, 0.463267, 18, 63
205907214, 0.1965740274, 0.0000106008, 0.0000389456, 0.080584, 59, 66
205907443, 0.2625902744, 0.0000334895, 0.0000676484, 0.429840, 57, 99
205907488, 0.9822843670, 0.0000243481, 0.0000554006, 0.261575, 52, 77
205907593, 0.2683718933, 0.0000965032, 0.0007054674, 0.019076, 82, 83
205907813, 1.9531840083, 0.0002518853, 0.0007415663, 0.133085, 76, 89
205907895, 0.2548424916, 0.0000206942, 0.0001218848, 0.029710, 53, 55
205907951, 0.3260756136, 0.0002127048, 0.0006355824, 0.128514, 94, 6
205908042, 0.6512168118, 0.0000137377, 0.0000295959, 0.314150, 69, 99
205908064, 0.8235051886, 0.0000748799, 0.0001498372, 0.483936, 28, 75
205908091, 2.8617630223, 0.0000111447, 0.0000302614, 0.161816, 64, 79
205908127, 0.1365281071, 0.0003057759, 0.0006681826, 0.298553, 58, 87
205908167, 0.5282929149, 0.0001681408, 0.0004100285, 0.213920, 28, 48
205908169, 2.5839434921, 0.0000654462, 0.0002783215, 0.058745, 11, 16
205908187, 0.1356477148, 0.0002987712, 0.0013985384, 0.047936, 6, 10
205908197, 1.6328452452, 0.0000138474, 0.0000414112, 0.128267, 86, 98
205908263, 0.2237947448, 0.0000274121, 0.0001592248, 0.030574, 76, 78
205908296, 0.6949380285, 0.0000698687, 0.0001406540, 0.443012, 11, 54
205908353, 1.0631578947, 0.0000125234, 0.0000264261, 0.340570, 58, 91
205908392, 0.5343534567, 0.0000066550, 0.0000246571, 0.079104, 18, 25
205908429, 0.5937060861, 0.0001628769, 0.0003719561, 0.258650, 71, 96
205908463, 1.8963838665, 0.0002442081, 0.0009530674, 0.070647, 58, 64
205908472, 1.4463355834, 0.0000103205, 0.0000206825, 0.468341, 27, 73
205908544, 0.9109322806, 0.0000592104, 0.0001184819, 0.516053, 54, 5
205908577, 0.6450967742, 0.0000787117, 0.0002048485, 0.180068, 56, 73
205908609, 0.3296192517, 0.0001694363, 0.0005022328, 0.130969, 78, 90
205908691, 0.9077621425, 0.0000151319, 0.0000325158, 0.317164, 68, 99
205908698, 2.0354889055, 0.0002514594, 0.0008399524, 0.099531, 18, 27
205908750, 2.5788342503, 0.0000125190, 0.0000570289, 0.050767, 14, 18
205908754, 0.5173948290, 0.0001050394, 0.0002108096, 0.458405, 25, 70
205908778, 0.5165751089, 0.0000186107, 0.0000376790, 0.422313, 39, 81
205908818, 1.0394331058, 0.0000221251, 0.0000651794, 0.132884, 14, 26
205908960, 0.1260510558, 0.0002187803, 0.0022028117, 0.009963, 61, 61
205908988, 0.6531736527, 0.0000261832, 0.0000564991, 0.312288, 66, 96
205909085, 1.2067827976, 0.0000344632, 0.0000753323, 0.298234, 26, 55
205909110, 0.2597142857, 0.0001910989, 0.0003843839, 0.446752, 36, 80
205909135, 1.3646165044, 0.0001001974, 0.0002901952, 0.138358, 22, 35
