Candidate	Period_hr	Period_d
211315506	21.229416963	0.884559040124
211380136	21.0434553352	0.876810638968
211389268	3.41988117998	0.142495049166
211518347	22.4563408109	0.93568086712
211526186	10.9214949781	0.455062290754
211578677	6.65127246482	0.277136352701
211580526	21.0963867377	0.87901611407
211604668	12.3818759114	0.515911496309
211613886	11.5057085875	0.479404524479
211623903	19.3873749687	0.807807290363
211631904	10.6083685489	0.442015356204
211685048	18.4590005463	0.769125022763
211719362	4.82684663486	0.201118609786
211719484	8.66119016042	0.360882923351
211796803	3.33106583581	0.138794409825
211797674	15.8764205092	0.661517521217
211822953	18.5930888261	0.77471203442
211833449	6.41727273623	0.26738636401
211833616	6.41693888247	0.267372453436
211906940	4.21080592531	0.175450246888
211931594	3.84102736098	0.160042806707
211931594	3.84102736098	0.160042806707
211953866	21.4672397374	0.894468322391
211978865	21.7863390716	0.907764127982
211995966	6.70229359961	0.279262233317
211999656	23.3815470164	0.974231125683
212066407	19.7233977468	0.821808239451
212069706	3.2861134508	0.136921393783
212083250	12.4505338834	0.518772245143
212155299	21.6409351609	0.901705631706
212158225	3.19906649525	0.133294437302
