Candidate	Period_hr	Period_d
210404228	13.4393116497	0.559971318736
210434247	10.8920936042	0.453837233506
210574135	22.3058153799	0.929408974161
210593417	12.7454075872	0.531058649465
210659779	5.63227086849	0.234677952854
210662654	3.81862584569	0.159109410237
210663545	3.60902747391	0.150376144746
210664740	9.95875787778	0.414948244908
210675130	16.534845354	0.68895188975
210821360	17.6063623895	0.733598432894
210843708	16.8968333251	0.704034721881
210863062	15.4562003448	0.644008347701
210932768	3.63661503191	0.151525626329
210941737	13.8522217261	0.577175905254
210954667	3.90689566138	0.162787319224
211012889	20.8703987512	0.869599947968
