candidate    	201089381
P	0.160418765223	(None, None)
mt	0.08260063	(0.00027219, 0.00027219)
mt_bjd	2457604.12593	(0.00027219, 0.00027219)
rp	0.03304	(0.000775, 0.001292)
a	2.797461	(0.331143, 0.120416)
i	91.723491	(9.060761, 10.355155)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.202334	(None, None)
ldc2	1.060131	(None, None)
ldc3	-0.797524	(None, None)
ldc4	0.223649	(None, None)
L0	0.0	(None, None)
N0	1.000098	(9e-06, 1e-05)
Q0	0.0	(None, None)
planet-r_earth    	2.787	(0.51,0.518)
star-r_sun        	0.77	(0.14,0.14)
total_duration_hrs 	0.478	(0.031,0.081)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.08259807830063015	(0.000275,0.000241)
EVEN_radius_ratio 	0.0331	(0.0008,0.0013)
EVEN_a_over_R_star	2.7898	(0.3513,0.1277)
EVEN_inclination  	88.867	(8.9441,0.8131)
ODD_midtime       	0.08253299643662738	(0.000243,0.000277)
ODD_radius_ratio  	0.0331	(0.0008,0.0013)
ODD_a_over_R_star 	2.7849	(0.348,0.1265)
ODD_inclination   	89.549	(8.9052,0.8096)
EVEN_RR - RR      	-2.6e-05	0.001842
ODD_RR - RR       	-6.3e-05	0.001828
ODD_RR - EVEN_RR  	3.7e-05	0.001843
EVEN_RR - RR sigma	-0.01
ODD_RR - RR sigma 	-0.03
ODD_RR - EVEN_RR sigma	0.02
