candidate    	220256496
P	0.6695321311	(None, None)
mt	0.34314517	(0.00163336, 0.00163336)
mt_bjd	2457395.82322	(0.00163336, 0.00163336)
rp	0.01494	(0.000484, 0.001331)
a	3.743028	(0.799088, 0.479453)
i	89.648398	(9.647663, 11.0259)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.578656	(None, None)
ldc2	-0.280784	(None, None)
ldc3	0.932531	(None, None)
ldc4	-0.448912	(None, None)
L0	0.0	(None, None)
N0	1.00002	(4e-06, 5e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.325	(0.151,0.167)
star-r_sun        	0.79	(0.08,0.08)
total_duration_hrs 	1.441	(0.179,0.437)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.34280590804880573	(0.001411,0.001613)
EVEN_radius_ratio 	0.0151	(0.0006,0.0012)
EVEN_a_over_R_star	3.7538	(0.6935,0.4624)
EVEN_inclination  	88.878	(8.9464,0.8133)
ODD_midtime       	0.3426893923940202	(0.001224,0.001632)
ODD_radius_ratio  	0.015	(0.0006,0.0012)
ODD_a_over_R_star 	3.7951	(0.6776,0.4517)
ODD_inclination   	89.049	(8.7515,0.7956)
EVEN_RR - RR      	-0.000162	0.001783
ODD_RR - RR       	-5e-05	0.001761
ODD_RR - EVEN_RR  	-0.000112	0.001655
EVEN_RR - RR sigma	-0.09
ODD_RR - RR sigma 	-0.03
ODD_RR - EVEN_RR sigma	-0.07
