candidate    	201549425
P	0.383254609413	(None, None)
mt	0.19351778	(0.00219911, 0.00329866)
mt_bjd	2456865.80605	(0.00219911, 0.00329866)
rp	0.015467	(0.001589, 0.006886)
a	3.103002	(0.641533, 4.811501)
i	89.776054	(6.516455, 9.309222)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.590841	(None, None)
ldc2	-0.202568	(None, None)
ldc3	0.693365	(None, None)
ldc4	-0.270013	(None, None)
L0	0.0	(None, None)
N0	1.000028	(1e-05, 1.1e-05)
Q0	0.0	(None, None)
planet-r_earth    	0.962	(0.223,0.383)
star-r_sun        	0.5	(0.08,0.08)
total_duration_hrs 	0.663	(0.36,0.397)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.19333952717236144	(0.002223,0.003335)
EVEN_radius_ratio 	0.0156	(0.0015,0.0059)
EVEN_a_over_R_star	3.1594	(0.8679,4.3394)
EVEN_inclination  	89.366	(8.3157,0.756)
ODD_midtime       	0.19376301428163123	(0.002259,0.003388)
ODD_radius_ratio  	0.0157	(0.0015,0.0058)
ODD_a_over_R_star 	3.0821	(0.5516,4.137)
ODD_inclination   	89.607	(8.2443,0.7495)
EVEN_RR - RR      	-0.000155	0.009055
ODD_RR - RR       	-0.000236	0.009022
ODD_RR - EVEN_RR  	8e-05	0.00828
EVEN_RR - RR sigma	-0.02
ODD_RR - RR sigma 	-0.03
ODD_RR - EVEN_RR sigma	0.01
