candidate    	211562654_p3
P	22.6203440931	(None, None)
mt	11.29190524	(0.00357642, 0.00357642)
mt_bjd	2457212.0276	(0.00357642, 0.00357642)
rp	0.024393	(0.001126, 0.002065)
a	48.630223	(9.630811, 4.815406)
i	89.915873	(0.721321, 0.824367)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.596663	(None, None)
ldc2	-0.27531	(None, None)
ldc3	0.888945	(None, None)
ldc4	-0.428776	(None, None)
L0	0.0	(None, None)
N0	1.000027	(3e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	2.335	(0.16,0.204)
star-r_sun        	0.87	(0.04,0.04)
total_duration_hrs 	3.857	(0.414,1.25)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	11.291787791338988	(0.00354,0.004046)
EVEN_radius_ratio 	0.0242	(0.0009,0.0021)
EVEN_a_over_R_star	49.5358	(11.285,4.1037)
EVEN_inclination  	89.882	(0.7394,0.1344)
ODD_midtime       	11.291357958209582	(0.003559,0.004067)
ODD_radius_ratio  	0.0241	(0.0008,0.0021)
ODD_a_over_R_star 	48.7635	(11.3363,4.1223)
ODD_inclination   	89.956	(0.7458,0.0678)
EVEN_RR - RR      	0.000145	0.002915
ODD_RR - RR       	0.000275	0.002947
ODD_RR - EVEN_RR  	-0.000129	0.002943
EVEN_RR - RR sigma	0.05
ODD_RR - RR sigma 	0.09
ODD_RR - EVEN_RR sigma	-0.04
