Candidate Period Period_err Ref_midtime Ref_midtime_err
228813918 0.17973832581556615 2.82981342847e-05 -2.967625706884469e-05 0.000552574815593
Based on stacks of 11 consecutive transits
x_days OminusC OminusC_err y_fit y_fit_minus y_fit_plus
-0.6654741400852799 -0.004159015040403183 0.003389411765396452 -0.0007977350478114431 0.00032112105694448445 -0.0019165911525682588
1.3114337604492903 -9.43923492354587e-05 0.0006132250845917772 -0.0007593321082737248 0.00030358119124507255 -0.001822245407792522
3.2883416609838605 0.00039828559983737244 0.0006408829464491114 -0.0007209291687368946 0.0002860413255438843 -0.0017278996630176735
5.265249561518431 -0.011001702003416478 0.0010089471335528709 -0.0006825262291991763 0.0002685014598435842 -0.001633553918242825
19.103604865260422 0.003691221944066736 0.009348204932474824 -0.00041370565244047697 0.0001457223999379309 -0.0009731337048188848
21.080512765794992 -0.004635787235717406 0.0017496172470584856 -0.0003753027129032027 0.00012818253423718673 -0.0008787879600435922
23.057420666329563 -0.0001249936640748961 0.0009344409995676298 -0.0003368997733654844 0.00011064266853688665 -0.0007844422152678554
25.034328566864133 0.0015777402571643673 0.00469490783185893 -0.0002984968338286542 9.310280283569838e-05 -0.0006900964704930068
27.011236467398703 0.003445564484228225 0.0007109668499619029 -0.00026009389429182406 7.55629371353983e-05 -0.0005957507257181582
28.988144367933273 0.002829513927832858 0.002001583051703911 -0.0002216909547545498 5.802307143443208e-05 -0.0005014049809437537
30.965052268467844 -0.0008394351387663451 0.002495772832023798 -0.00018328801521727556 4.0483205733909955e-05 -0.00040705923616846107
32.941960169002414 -0.0032427587979136085 0.0011213839564632817 -0.00014488507568022335 2.2943340033165782e-05 -0.0003127134913936125
34.918868069536984 0.0025912757939739045 0.0006511469628634636 -0.00010648213614306012 5.403474332532632e-06 -0.00021836774661865288
36.895775970071554 -0.0009881854282092206 0.0006608166014133473 -6.807919660595241e-05 -1.213639136815603e-05 -0.00012402200184374879
38.872683870606124 -0.00016873158834443402 0.0006308696683239455 -2.967625706884469e-05 -2.967625706884469e-05 -2.967625706884469e-05
40.849591771140695 -0.006093508009464815 0.002292458297761115 8.726682468263025e-06 -4.721612276953335e-05 6.46694877060594e-05
42.826499671675265 0.0005336584360095403 0.0009328548580535292 4.712962200537074e-05 -6.475598847022201e-05 0.0001590152324809635
44.803407572209835 0.0017837566420617207 0.0005674253594867121 8.553256154253397e-05 -8.229585417085516e-05 0.0002533609772559231
46.780315472744405 -0.0001020184467812324 0.0007368280126448679 0.00012393550107958617 -9.983571987159934e-05 0.0003477067220307717
48.757223373278975 -0.0014133242886175124 0.0021694158319340512 0.00016233844061686042 -0.00011737558557212147 0.00044205246680606436
50.734131273813546 0.0029142308741203216 0.003550085896279405 0.00020074138015369059 -0.0001349154512726436 0.0005363982115809129
52.711039174348116 -0.002400272612820914 0.0016314871573576055 0.00023914431969140892 -0.00015245531697383186 0.0006307439563557615
54.687947074882686 0.00027261584227794566 0.007046278191500161 0.0002775472592282391 -0.00016999518267413194 0.0007250897011306101
56.664854975417256 0.0014780556390041055 0.006150670917795581 0.00031595019876506925 -0.0001875350483753202 0.0008194354459054587
58.64176287595183 -0.0004794061519375753 0.0011150010733891444 0.0003543531383023435 -0.0002050749140751762 0.0009137811906807514
60.6186707764864 -0.0023333215672308033 0.0007249252044917103 0.00039275607784006183 -0.00022261477977636446 0.0010081269354556
62.59557867702097 0.002671812791407907 0.0027980571558887933 0.000431159017376892 -0.00024015464547666454 0.0011024726802304485
64.57248657755554 0.0008969860807398478 0.0040682160265784655 0.00046956195691372216 -0.0002576945111778528 0.0011968184250052971
66.54939447809011 7.611144129764102e-05 0.0020071964945726716 0.0005079648964514405 -0.0002752343768781529 0.0012911641697801457
