candidate    	211336288
P	0.221814188486	(None, None)
mt	0.1157597	(0.0013774, 0.0020661)
mt_bjd	2457143.81329	(0.0013774, 0.0020661)
rp	0.014679	(0.001127, 0.003945)
a	2.112464	(0.36947, 1.662616)
i	89.390993	(12.181731, 15.662226)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.590769	(None, None)
ldc2	0.266145	(None, None)
ldc3	-0.05559	(None, None)
ldc4	0.029561	(None, None)
L0	0.0	(None, None)
N0	1.000037	(8e-06, 1.2e-05)
Q0	0.0	(None, None)
planet-r_earth    	0.983	(0.118,0.248)
star-r_sun        	0.59	(0.03,0.03)
total_duration_hrs 	0.754	(0.336,0.257)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.115881689068476	(0.00137,0.002055)
EVEN_radius_ratio 	0.0145	(0.0011,0.0035)
EVEN_a_over_R_star	2.0181	(0.3542,1.3284)
EVEN_inclination  	88.282	(13.8001,1.2546)
ODD_midtime       	0.11588821614909256	(0.00139,0.002085)
ODD_radius_ratio  	0.0146	(0.001,0.0037)
ODD_a_over_R_star 	2.0917	(0.3503,1.4013)
ODD_inclination   	88.49	(13.4748,1.225)
EVEN_RR - RR      	0.00022	0.005258
ODD_RR - RR       	0.0001	0.005385
ODD_RR - EVEN_RR  	0.00012	0.005051
EVEN_RR - RR sigma	0.04
ODD_RR - RR sigma 	0.02
ODD_RR - EVEN_RR sigma	0.02
