#epic_num, bper, bpow, depth, qtran, in1, in2
202059511, 0.1647001334, 0.0000827814, 0.0001712354, 0.372370, 74, 10
202059521, 0.7270942408, 0.0000815573, 0.0001639328, 0.450105, 70, 14
202059522, 2.6740060617, 0.0003042838, 0.0006153896, 0.425757, 56, 99
202059530, 1.0312145485, 0.0003873553, 0.0007770722, 0.461048, 13, 58
202059531, 1.9828794289, 0.0002880227, 0.0012285617, 0.058368, 76, 81
202059532, 0.2869098630, 0.0006939714, 0.0070433789, 0.009804, 48, 48
202059545, 0.9950243805, 0.0005227560, 0.0010528495, 0.441073, 23, 66
202059547, 0.1327753261, 0.0005874521, 0.0059622741, 0.009804, 69, 69
202059552, 0.1977063767, 0.0001134924, 0.0002276824, 0.460888, 45, 90
202059586, 0.2457662529, 0.0000726777, 0.0005387079, 0.018545, 89, 90
202059600, 2.5535881502, 0.0020082005, 0.0051821760, 0.184045, 21, 39
202059606, 0.9800699186, 0.0000245526, 0.0000491146, 0.490196, 79, 27
202059635, 2.5337444041, 0.0011902979, 0.0025267807, 0.332398, 62, 94
202059638, 0.6268048561, 0.0001503631, 0.0003008711, 0.484485, 96, 43
202059645, 2.7472295998, 0.0004125541, 0.0010004061, 0.217268, 4, 25
202059653, 2.7530286344, 0.0014384113, 0.0034708441, 0.220267, 47, 68
202059697, 1.1513837178, 0.0003150403, 0.0006342228, 0.442948, 52, 96
202059720, 1.1678800857, 0.0001434753, 0.0003650797, 0.190883, 67, 85
202059766, 1.6619757327, 0.0003664992, 0.0007351017, 0.462203, 21, 66
202060054, 1.9502633119, 0.0000136951, 0.0000299315, 0.298381, 46, 76
202060091, 1.9243648961, 0.0000462552, 0.0000953904, 0.378066, 37, 75
202060092, 0.2918535527, 0.0012785740, 0.0025577008, 0.510394, 60, 10
202060093, 2.0072938972, 0.0015878604, 0.0031868375, 0.458273, 29, 75
202060097, 2.7073104693, 0.0005712118, 0.0011443604, 0.470922, 26, 73
202060098, 0.4804208908, 0.0001170332, 0.0004854265, 0.061966, 51, 56
202060124, 2.1424898222, 0.0179910195, 0.0444700019, 0.206186, 72, 92
202060130, 1.0648940324, 0.0000999364, 0.0002021183, 0.425676, 41, 82
202060132, 0.7352926758, 0.0081322037, 0.0165081955, 0.414388, 42, 82
202060135, 1.4336168993, 0.0197903090, 0.0519975223, 0.175743, 75, 0
