#epic_num, bper, bpow, depth, qtran, in1, in2
202483641, 0.1380308392, 0.0153524875, 0.0307055926, 0.503171, 52, 1
202488467, 1.6328452452, 0.0000246256, 0.0000691498, 0.149031, 65, 79
202491250, 1.2604311106, 0.0000520967, 0.0001163842, 0.277222, 71, 98
202496545, 1.9590517241, 0.0000251425, 0.0000645825, 0.186250, 20, 37
202499459, 0.9291023973, 0.0001501609, 0.0003030498, 0.433064, 44, 87
202501727, 0.1341271474, 0.0009398985, 0.0018814227, 0.479219, 93, 40
202502512, 1.7189272821, 0.0002406147, 0.0004813086, 0.509074, 16, 66
202506039, 0.6685760136, 0.0000424297, 0.0000851603, 0.457999, 50, 95
202506474, 0.5352306183, 0.0000595418, 0.0001263877, 0.332487, 61, 93
202507039, 0.1325594036, 0.0000335314, 0.0002531573, 0.017863, 32, 33
202512864, 0.1750688673, 0.0002249977, 0.0004581739, 0.405950, 8, 48
202514927, 1.0231249360, 0.0000388091, 0.0000818164, 0.341894, 60, 93
202515599, 0.5859704641, 0.0005762906, 0.0011607264, 0.440870, 83, 26
202517891, 2.9931151467, 0.0000313123, 0.0000650151, 0.365665, 10, 46
202518093, 1.5152295802, 0.0004185898, 0.0041943471, 0.010061, 40, 40
202518676, 0.1964259989, 0.0023168426, 0.0056515150, 0.213748, 48, 68
202520669, 0.7782938094, 0.0002018496, 0.0007457886, 0.079587, 50, 57
202521463, 0.6638119896, 0.0000369658, 0.0000749265, 0.418790, 90, 31
202521690, 1.8376010782, 0.0012009663, 0.0024038660, 0.520049, 18, 69
202521931, 0.1373621090, 0.0005401497, 0.0013459669, 0.201754, 19, 38
202522205, 0.4743058630, 0.0007686643, 0.0015602116, 0.414680, 3, 44
202522885, 0.3567588782, 0.0000303544, 0.0003021308, 0.010198, 24, 24
202523595, 0.2287804022, 0.0002426923, 0.0010195612, 0.060297, 44, 49
202524330, 0.2942238090, 0.0000753654, 0.0007621224, 0.009877, 8, 8
202526459, 0.4418471056, 0.0000462985, 0.0000925996, 0.496183, 90, 38
202526854, 0.9742132441, 0.0000420085, 0.0000843987, 0.452498, 54, 98
202527051, 0.9749414977, 0.0000270780, 0.0000541586, 0.504860, 9, 58
