candidate    	211305568
P	0.197843064492	(None, None)
mt	0.09785943	(0.00083532, 0.00111376)
mt_bjd	2457173.01294	(0.00083532, 0.00111376)
rp	0.013362	(0.000723, 0.001445)
a	2.143223	(0.360123, 0.600205)
i	91.623042	(13.88282, 15.86608)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.524248	(None, None)
ldc2	0.699477	(None, None)
ldc3	-0.551465	(None, None)
ldc4	0.148314	(None, None)
L0	0.0	(None, None)
N0	1.000026	(4e-06, 5e-06)
Q0	0.0	(None, None)
planet-r_earth    	0.668	(0.065,0.078)
star-r_sun        	0.45	(0.03,0.03)
total_duration_hrs 	0.689	(0.154,0.177)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	2457173.0128042684	(0.001267,0.000845)
EVEN_radius_ratio 	0.013	(0.0016,0.0006)
EVEN_a_over_R_star	2.1671	(0.5987,0.3592)
EVEN_inclination  	87.909	(17.9618,11.9745)
ODD_midtime       	2457173.012652871	(0.001248,0.000832)
ODD_radius_ratio  	0.0132	(0.0014,0.0007)
ODD_a_over_R_star 	2.2146	(0.5926,0.3556)
ODD_inclination   	88.354	(19.0289,12.686)
EVEN_RR - RR      	0.000357	0.002161
ODD_RR - RR       	0.000133	0.002034
ODD_RR - EVEN_RR  	0.000224	0.002152
EVEN_RR - RR sigma	0.17
ODD_RR - RR sigma 	0.07
ODD_RR - EVEN_RR sigma	0.1
