candidate    	201637175
P	0.381073221805	(None, None)
mt	0.18972201	(0.00035859, 0.00031377)
mt_bjd	2456846.94318	(0.00035859, 0.00031377)
rp	0.036588	(0.000834, 0.00139)
a	3.020057	(0.21713, 0.078956)
i	90.635206	(7.247444, 8.282793)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.552874	(None, None)
ldc2	0.284638	(None, None)
ldc3	0.020496	(None, None)
ldc4	-0.030233	(None, None)
L0	0.0	(None, None)
N0	1.000059	(1.1e-05, 9e-06)
Q0	0.0	(None, None)
planet-r_earth    	2.329	(0.136,0.146)
star-r_sun        	0.58	(0.03,0.03)
total_duration_hrs 	1.033	(0.04,0.103)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.18968988371131112	(0.00037,0.000324)
EVEN_radius_ratio 	0.0367	(0.0009,0.0015)
EVEN_a_over_R_star	3.0338	(0.2332,0.0848)
EVEN_inclination  	88.748	(7.0372,1.2795)
ODD_midtime       	0.18965586025397527	(0.000323,0.000369)
ODD_radius_ratio  	0.0364	(0.0007,0.0014)
ODD_a_over_R_star 	3.0214	(0.2258,0.0821)
ODD_inclination   	89.56	(7.4705,0.6225)
EVEN_RR - RR      	-8.8e-05	0.002043
ODD_RR - RR       	0.000174	0.001993
ODD_RR - EVEN_RR  	-0.000262	0.002069
EVEN_RR - RR sigma	-0.04
ODD_RR - RR sigma 	0.09
ODD_RR - EVEN_RR sigma	-0.13
