k2name	k2camp	isdwarf	teff	tefferr	kepmag	
202084060.0	0.0	1.0	3471.0	19.0	14.4	
202084028.0	0.0	1.0	3489.0	19.0	15.2	
202084005.0	0.0	1.0	3479.0	19.0	15.2	
202083917.0	0.0	1.0	3418.0	19.0	15.5	
202083904.0	0.0	1.0	3362.0	19.0	14.8	
202083901.0	0.0	1.0	3419.0	19.0	15.4	
202083898.0	0.0	1.0	3496.0	19.0	14.9	
202083872.0	0.0	1.0	3474.0	19.0	15.1	
202084303.0	0.0	1.0	3408.0	19.0	15.3	
202084291.0	0.0	1.0	3407.0	19.0	14.6	
202084228.0	0.0	1.0	3544.0	19.0	15.1	
202083828.0	0.0	1.0	3554.0	19.0	14.0	
202083805.0	0.0	1.0	3478.0	19.0	14.7	
202083781.0	0.0	1.0	3660.0	19.0	13.0	
202083768.0	0.0	1.0	3703.0	19.0	13.3	
202083734.0	0.0	1.0	3385.0	19.0	15.2	
202083713.0	0.0	1.0	3358.0	19.0	15.5	
202083606.0	0.0	1.0	3345.0	19.0	15.2	
202083602.0	0.0	1.0	3532.0	19.0	13.9	
202083579.0	0.0	1.0	3307.0	19.0	15.6	
202083558.0	0.0	1.0	3299.0	19.0	15.6	
202083553.0	0.0	1.0	3419.0	19.0	14.6	
202083521.0	0.0	1.0	3296.0	19.0	15.5	
202083510.0	0.0	1.0	3279.0	19.0	15.2	
202083428.0	0.0	1.0	3311.0	19.0	15.2	
202083412.0	0.0	1.0	3566.0	19.0	12.1	
202083330.0	0.0	1.0	3375.0	19.0	14.1	
202083293.0	0.0	1.0	3196.0	19.0	15.6	
202083852.0	0.0	1.0	3514.0	19.0	14.9	
202081985.0	0.0	1.0	4289.0	132.0	15.9	
202081984.0	0.0	1.0	4281.0	25.0	15.8	
202081971.0	0.0	1.0	3566.0	19.0	15.9	
202081888.0	0.0	1.0	3301.0	19.0	15.2	
202081810.0	0.0	1.0	4364.0	25.0	15.6	
202081809.0	0.0	1.0	3464.0	19.0	16.0	
202081788.0	0.0	1.0	4253.0	25.0	15.2	
202081787.0	0.0	1.0	3760.0	19.0	15.4	
202081280.0	0.0	1.0	3338.0	19.0	15.9	
202081273.0	0.0	1.0	3392.0	19.0	14.9	
202081271.0	0.0	1.0	3593.0	19.0	14.6	
202081496.0	0.0	1.0	3389.0	19.0	14.2	
202081483.0	0.0	1.0	3668.0	19.0	15.5	
202081383.0	0.0	1.0	3600.0	19.0	14.6	
202081367.0	0.0	1.0	3632.0	19.0	14.8	
202081359.0	0.0	1.0	3536.0	19.0	14.7	
202081358.0	0.0	1.0	3279.0	19.0	15.3	
202081335.0	0.0	1.0	3980.0	19.0	14.8	
202081332.0	0.0	1.0	4114.0	19.0	14.4	
202081313.0	0.0	1.0	3937.0	19.0	13.6	
202081312.0	0.0	1.0	3724.0	19.0	14.5	
202081297.0	0.0	1.0	3192.0	19.0	13.0	
202081287.0	0.0	1.0	4068.0	19.0	14.7	
202081104.0	0.0	0.0	4388.0	25.0	13.9	
202081077.0	0.0	1.0	1.0	0.0	13.7	
202081068.0	0.0	1.0	3285.0	19.0	14.5	
202081065.0	0.0	1.0	3725.0	19.0	14.3	
202073528.0	0.0	1.0	6225.0	25.0	11.5	
202074474.0	0.0	nan	4808.0	25.0	14.2	
202074419.0	0.0	0.0	3477.0	19.0	14.0	
202073135.0	0.0	1.0	6754.0	25.0	11.9	
202073004.0	0.0	1.0	5314.0	25.0	15.2	
202072991.0	0.0	1.0	6519.0	25.0	10.1	
202072965.0	0.0	1.0	6511.0	25.0	10.3	
202072933.0	0.0	1.0	5871.0	25.0	12.2	
202072451.0	0.0	1.0	-1.0	0.0	11.1	
202072388.0	0.0	1.0	7483.0	79.0	10.7	
202071890.0	0.0	1.0	5838.0	25.0	12.0	
202071888.0	0.0	1.0	6388.0	25.0	11.7	
202071887.0	0.0	1.0	6485.0	25.0	11.4	
202071886.0	0.0	1.0	6056.0	25.0	11.7	
202071885.0	0.0	1.0	6526.0	18.0	10.0	
202071881.0	0.0	1.0	6127.0	25.0	11.0	
202071880.0	0.0	1.0	7090.0	79.0	10.9	
202071879.0	0.0	1.0	6743.0	25.0	11.3	
202071877.0	0.0	1.0	6832.0	25.0	11.3	
202071876.0	0.0	1.0	6898.0	25.0	10.7	
202071875.0	0.0	1.0	6521.0	25.0	12.0	
202071870.0	0.0	1.0	5617.0	79.0	11.9	
202071868.0	0.0	1.0	7090.0	79.0	11.8	
202071867.0	0.0	1.0	-1.0	0.0	12.0	
202067579.0	0.0	1.0	4251.0	132.0	14.1	
202067563.0	0.0	1.0	3647.0	19.0	14.4	
202067543.0	0.0	1.0	4072.0	19.0	15.0	
202067522.0	0.0	1.0	3409.0	19.0	14.0	
202067513.0	0.0	1.0	1.0	0.0	13.6	
202065832.0	0.0	1.0	5576.0	25.0	12.1	
202065831.0	0.0	1.0	5831.0	25.0	12.1	
202065830.0	0.0	0.0	3500.0	19.0	12.1	
202065829.0	0.0	1.0	5240.0	25.0	12.1	
202065828.0	0.0	1.0	5261.0	25.0	12.1	
202065827.0	0.0	1.0	5484.0	25.0	12.1	
202065826.0	0.0	0.0	4874.0	25.0	12.1	
202065824.0	0.0	0.0	3399.0	19.0	12.0	
202065823.0	0.0	1.0	5585.0	25.0	12.0	
202065820.0	0.0	1.0	6088.0	25.0	11.9	
202065816.0	0.0	1.0	6504.0	25.0	11.9	
202065815.0	0.0	0.0	4035.0	19.0	11.8	
202065814.0	0.0	0.0	3689.0	19.0	11.8	
202065813.0	0.0	0.0	3920.0	19.0	11.8	
202065812.0	0.0	0.0	5122.0	25.0	11.8	
202065811.0	0.0	1.0	6286.0	25.0	11.7	
202065809.0	0.0	0.0	3620.0	19.0	11.7	
202065808.0	0.0	0.0	3921.0	19.0	11.7	
202065807.0	0.0	0.0	4026.0	19.0	11.7	
202065261.0	0.0	1.0	4286.0	132.0	16.4	
202065259.0	0.0	1.0	3522.0	19.0	15.1	
202065254.0	0.0	1.0	2963.0	19.0	16.5	
202065250.0	0.0	1.0	4430.0	132.0	16.4	
202065248.0	0.0	1.0	4398.0	132.0	14.5	
202065247.0	0.0	1.0	3040.0	19.0	14.1	
202065239.0	0.0	1.0	3102.0	19.0	15.8	
202065231.0	0.0	1.0	2965.0	19.0	13.9	
202065230.0	0.0	1.0	3268.0	19.0	15.7	
202065216.0	0.0	1.0	3282.0	19.0	16.1	
202065209.0	0.0	1.0	3122.0	19.0	12.8	
202065208.0	0.0	1.0	3612.0	19.0	15.0	
202065207.0	0.0	1.0	2967.0	19.0	14.2	
202065206.0	0.0	1.0	3590.0	19.0	14.5	
202065264.0	0.0	nan	1.0	0.0	17.9	
202065213.0	0.0	1.0	4283.0	132.0	17.7	
202065204.0	0.0	1.0	2810.0	19.0	16.4	
202065197.0	0.0	1.0	4384.0	132.0	16.0	
202059207.0	0.0	1.0	3930.0	19.0	12.2	
202059204.0	0.0	1.0	3511.0	19.0	11.3	
202059203.0	0.0	1.0	3159.0	19.0	13.1	
202059199.0	0.0	1.0	3353.0	19.0	12.2	
202059198.0	0.0	1.0	3572.0	19.0	11.2	
202059197.0	0.0	1.0	3902.0	19.0	12.2	
202059193.0	0.0	1.0	3744.0	19.0	12.4	
202059188.0	0.0	1.0	3010.0	19.0	12.3	
202059183.0	0.0	1.0	3362.0	19.0	13.3	
202060162.0	0.0	1.0	-1.0	0.0	9.1	
202060145.0	0.0	1.0	-1.0	0.0	11.3	
202060142.0	0.0	1.0	-1.0	0.0	10.7	
202060132.0	0.0	1.0	4900.0	18.0	10.2	
202060130.0	0.0	1.0	7563.0	79.0	9.4	
202060093.0	0.0	1.0	7170.0	25.0	9.3	
202060092.0	0.0	1.0	5881.0	18.0	9.2	
202060091.0	0.0	1.0	6913.0	25.0	9.0	
202064574.0	0.0	0.0	4272.0	25.0	16.3	
202064550.0	0.0	0.0	4914.0	25.0	11.0	
202064549.0	0.0	0.0	5259.0	25.0	13.1	
202064462.0	0.0	0.0	4554.0	18.0	9.8	
202064452.0	0.0	0.0	4722.0	25.0	11.5	
202064439.0	0.0	0.0	4506.0	25.0	11.6	
202064438.0	0.0	1.0	5281.0	18.0	9.5	
202064436.0	0.0	0.0	4201.0	19.0	9.5	
202064435.0	0.0	0.0	4937.0	25.0	10.6	
202064364.0	0.0	1.0	6706.0	25.0	13.0	
202064353.0	0.0	1.0	6951.0	25.0	13.0	
202064331.0	0.0	1.0	5447.0	25.0	12.8	
202064316.0	0.0	1.0	7338.0	132.0	12.7	
202064298.0	0.0	1.0	6244.0	25.0	12.6	
202064293.0	0.0	1.0	6542.0	25.0	12.6	
202064269.0	0.0	1.0	7187.0	25.0	12.4	
202064262.0	0.0	1.0	7031.0	25.0	12.4	
202064253.0	0.0	1.0	6213.0	25.0	12.3	
202064251.0	0.0	1.0	6523.0	25.0	12.3	
202064247.0	0.0	1.0	7054.0	25.0	12.3	
202064235.0	0.0	1.0	7071.0	140.0	12.2	
202064221.0	0.0	1.0	6364.0	25.0	12.2	
202064219.0	0.0	1.0	6218.0	25.0	12.1	
202064212.0	0.0	1.0	7117.0	132.0	12.1	
202137950.0	0.0	0.0	3619.0	19.0	15.5	
202137949.0	0.0	0.0	3669.0	19.0	13.4	
202137948.0	0.0	0.0	4115.0	19.0	14.5	
202137581.0	0.0	1.0	3837.0	19.0	14.9	
202137517.0	0.0	1.0	1.0	0.0	15.3	
202137159.0	0.0	1.0	4065.0	19.0	14.8	
202135927.0	0.0	1.0	3856.0	19.0	15.1	
202135805.0	0.0	1.0	4275.0	132.0	15.8	
202135083.0	0.0	0.0	3544.0	19.0	12.8	
202135082.0	0.0	0.0	3614.0	19.0	15.0	
202135068.0	0.0	0.0	3738.0	19.0	14.3	
202135067.0	0.0	0.0	3621.0	19.0	14.1	
202135061.0	0.0	0.0	3461.0	19.0	14.1	
202133676.0	0.0	0.0	4258.0	25.0	10.0	
202133531.0	0.0	0.0	4472.0	25.0	10.8	
202133459.0	0.0	0.0	4072.0	19.0	11.6	
202132246.0	0.0	0.0	4057.0	19.0	10.3	
202131779.0	0.0	0.0	4602.0	25.0	10.2	
202131202.0	0.0	0.0	4328.0	25.0	11.6	
202130856.0	0.0	0.0	4640.0	25.0	11.5	
202130395.0	0.0	0.0	3973.0	19.0	11.1	
202129878.0	0.0	0.0	4266.0	25.0	12.2	
202129704.0	0.0	0.0	4115.0	19.0	12.4	
202129700.0	0.0	0.0	4181.0	19.0	11.3	
202129644.0	0.0	0.0	3799.0	19.0	11.4	
202129047.0	0.0	0.0	3700.0	19.0	11.2	
202128805.0	0.0	0.0	3972.0	19.0	11.3	
202127923.0	0.0	0.0	3959.0	19.0	10.5	
202127834.0	0.0	0.0	3645.0	19.0	12.6	
202127622.0	0.0	0.0	3617.0	19.0	11.5	
202095667.0	0.0	1.0	6566.0	25.0	11.2	
202095661.0	0.0	1.0	6355.0	25.0	10.6	
202095659.0	0.0	1.0	6585.0	18.0	10.0	
202095658.0	0.0	1.0	6536.0	25.0	11.1	
202095657.0	0.0	1.0	6534.0	25.0	10.5	
202095642.0	0.0	1.0	6531.0	25.0	11.2	
202095641.0	0.0	1.0	6362.0	25.0	10.1	
202095640.0	0.0	1.0	6556.0	25.0	11.0	
202095639.0	0.0	1.0	6554.0	25.0	11.2	
202095628.0	0.0	1.0	5848.0	25.0	13.7	
202095625.0	0.0	1.0	5940.0	25.0	13.6	
202095624.0	0.0	1.0	5832.0	25.0	13.7	
202095618.0	0.0	1.0	5798.0	25.0	13.8	
202095615.0	0.0	1.0	5915.0	25.0	13.7	
202095612.0	0.0	1.0	5779.0	25.0	13.8	
202095609.0	0.0	1.0	5925.0	25.0	13.6	
202092780.0	0.0	1.0	5875.0	25.0	13.1	
202092776.0	0.0	1.0	5878.0	25.0	13.1	
202092775.0	0.0	1.0	6301.0	25.0	11.5	
202092803.0	0.0	1.0	5829.0	25.0	13.2	
202092801.0	0.0	1.0	5856.0	25.0	13.1	
202092798.0	0.0	1.0	6303.0	25.0	11.5	
202092792.0	0.0	1.0	5709.0	25.0	13.5	
202092791.0	0.0	1.0	5721.0	25.0	13.4	
202092789.0	0.0	1.0	6333.0	25.0	11.5	
202092788.0	0.0	1.0	6305.0	25.0	11.6	
202092783.0	0.0	1.0	5569.0	25.0	13.6	
202092782.0	0.0	1.0	6332.0	25.0	11.6	
202091121.0	0.0	1.0	4684.0	25.0	12.5	
202090218.0	0.0	1.0	6281.0	18.0	11.4	
202089101.0	0.0	1.0	4197.0	19.0	14.9	
202088954.0	0.0	1.0	6094.0	25.0	11.6	
202088950.0	0.0	1.0	5408.0	25.0	13.5	
202088946.0	0.0	1.0	5279.0	25.0	13.7	
202088943.0	0.0	1.0	6094.0	25.0	11.6	
202088938.0	0.0	1.0	5502.0	25.0	13.3	
202088936.0	0.0	1.0	5841.0	25.0	12.4	
202089006.0	0.0	1.0	5350.0	25.0	13.5	
202089003.0	0.0	1.0	5716.0	25.0	12.9	
202088994.0	0.0	1.0	5264.0	25.0	13.6	
202088991.0	0.0	1.0	4060.0	19.0	15.0	
202088988.0	0.0	1.0	4951.0	25.0	13.9	
202088987.0	0.0	1.0	6094.0	25.0	11.7	
202088986.0	0.0	1.0	6102.0	25.0	11.6	
202088985.0	0.0	1.0	5365.0	25.0	13.5	
202088984.0	0.0	1.0	6099.0	25.0	11.6	
202088980.0	0.0	1.0	6078.0	25.0	11.6	
202088979.0	0.0	1.0	6106.0	25.0	11.6	
202088976.0	0.0	1.0	5717.0	25.0	12.9	
202088973.0	0.0	1.0	6099.0	25.0	11.6	
202088969.0	0.0	1.0	5790.0	25.0	12.7	
202088968.0	0.0	1.0	5660.0	25.0	13.0	
202088965.0	0.0	1.0	6072.0	25.0	11.6	
202087138.0	0.0	1.0	4014.0	19.0	15.0	
202086439.0	0.0	1.0	5550.0	25.0	12.5	
202086397.0	0.0	1.0	4251.0	25.0	14.5	
202086130.0	0.0	1.0	4204.0	19.0	14.3	
202086125.0	0.0	1.0	5365.0	25.0	10.9	
202086042.0	0.0	1.0	5496.0	25.0	11.1	
202085852.0	0.0	1.0	4487.0	25.0	11.9	
202085840.0	0.0	1.0	3813.0	19.0	15.3	
202085733.0	0.0	1.0	3814.0	19.0	14.9	
202085724.0	0.0	1.0	3809.0	19.0	15.5	
202085698.0	0.0	1.0	3808.0	19.0	14.9	
202085655.0	0.0	1.0	3670.0	19.0	15.8	
202085623.0	0.0	1.0	3697.0	19.0	12.9	
202086035.0	0.0	1.0	3939.0	19.0	14.7	
202064207.0	0.0	1.0	6871.0	25.0	12.0	
202064206.0	0.0	1.0	-1.0	0.0	12.0	
202064188.0	0.0	1.0	5762.0	25.0	11.9	
202064179.0	0.0	1.0	-1.0	0.0	11.8	
202064169.0	0.0	0.0	2430.0	19.0	11.8	
202064165.0	0.0	1.0	6854.0	25.0	11.8	
202064164.0	0.0	1.0	6328.0	25.0	11.8	
202064161.0	0.0	1.0	6756.0	25.0	11.8	
202064158.0	0.0	1.0	6958.0	25.0	11.7	
202064157.0	0.0	1.0	6305.0	25.0	11.4	
202064153.0	0.0	1.0	6710.0	25.0	11.7	
202064152.0	0.0	1.0	7177.0	25.0	11.7	
202064148.0	0.0	1.0	7465.0	79.0	11.7	
202064143.0	0.0	1.0	7264.0	79.0	11.6	
202064142.0	0.0	1.0	7149.0	132.0	11.6	
202064140.0	0.0	1.0	6835.0	132.0	11.6	
202064139.0	0.0	1.0	6655.0	25.0	11.6	
202064135.0	0.0	1.0	7035.0	25.0	11.6	
202064133.0	0.0	1.0	6585.0	25.0	11.6	
202064124.0	0.0	1.0	7038.0	25.0	11.6	
202064115.0	0.0	1.0	6790.0	25.0	11.5	
202064114.0	0.0	1.0	6413.0	25.0	11.1	
202064111.0	0.0	1.0	6294.0	25.0	11.4	
202064110.0	0.0	1.0	7178.0	79.0	11.5	
202063178.0	0.0	1.0	7590.0	79.0	9.3	
202063174.0	0.0	1.0	-1.0	0.0	9.2	
202063171.0	0.0	1.0	7192.0	25.0	9.2	
202063160.0	0.0	1.0	6788.0	25.0	9.2	
202063158.0	0.0	1.0	7306.0	79.0	9.3	
202063120.0	0.0	1.0	7102.0	79.0	9.2	
202063098.0	0.0	1.0	-1.0	0.0	9.1	
202063090.0	0.0	1.0	7182.0	25.0	9.1	
202063066.0	0.0	1.0	7491.0	79.0	9.1	
202063053.0	0.0	1.0	6978.0	25.0	9.1	
202063042.0	0.0	1.0	7127.0	25.0	9.0	
202062782.0	0.0	1.0	7042.0	25.0	9.1	
202062769.0	0.0	1.0	7383.0	79.0	9.0	
202062640.0	0.0	1.0	5357.0	25.0	14.6	
202062635.0	0.0	1.0	5856.0	25.0	13.6	
202062634.0	0.0	1.0	5691.0	25.0	12.8	
202062633.0	0.0	1.0	6048.0	25.0	13.5	
202062632.0	0.0	1.0	7168.0	132.0	13.4	
202062623.0	0.0	1.0	6817.0	25.0	13.0	
202062609.0	0.0	1.0	6408.0	25.0	12.5	
202062607.0	0.0	1.0	5428.0	25.0	11.3	
202062604.0	0.0	1.0	7149.0	132.0	12.4	
202062603.0	0.0	1.0	6270.0	25.0	12.4	
202062594.0	0.0	1.0	6003.0	25.0	12.0	
202062582.0	0.0	1.0	6507.0	18.0	10.1	
202062572.0	0.0	1.0	-1.0	0.0	9.2	
202062563.0	0.0	1.0	7289.0	79.0	10.3	
202062559.0	0.0	1.0	7545.0	79.0	10.2	
202062552.0	0.0	1.0	5681.0	25.0	11.6	
202062533.0	0.0	1.0	5932.0	25.0	11.6	
202062529.0	0.0	1.0	5121.0	25.0	12.6	
202062527.0	0.0	1.0	7081.0	82.0	13.2	
202062525.0	0.0	1.0	5905.0	25.0	13.0	
202062523.0	0.0	1.0	7454.0	160.0	12.6	
202062521.0	0.0	1.0	7063.0	25.0	12.5	
202062517.0	0.0	1.0	7001.0	25.0	12.5	
202062514.0	0.0	1.0	6328.0	25.0	12.3	
202062512.0	0.0	1.0	6617.0	25.0	12.2	
202062511.0	0.0	1.0	7098.0	132.0	12.2	
202062496.0	0.0	1.0	5521.0	25.0	11.4	
202062495.0	0.0	1.0	7155.0	25.0	11.4	
202062488.0	0.0	0.0	3710.0	19.0	10.7	
202062487.0	0.0	1.0	-1.0	0.0	10.3	
202062482.0	0.0	1.0	7047.0	79.0	11.2	
202062481.0	0.0	1.0	7387.0	79.0	11.0	
202062480.0	0.0	1.0	7338.0	132.0	10.9	
202062476.0	0.0	1.0	7232.0	132.0	10.3	
202062473.0	0.0	1.0	-1.0	0.0	9.5	
202062472.0	0.0	1.0	6731.0	25.0	12.3	
202062468.0	0.0	0.0	5004.0	25.0	11.4	
202062466.0	0.0	1.0	6109.0	25.0	11.2	
202062464.0	0.0	1.0	-1.0	0.0	9.3	
202062458.0	0.0	1.0	7469.0	79.0	9.5	
202062457.0	0.0	0.0	4304.0	25.0	10.2	
202062455.0	0.0	1.0	6249.0	25.0	10.7	
202062454.0	0.0	1.0	6837.0	25.0	11.1	
202062450.0	0.0	0.0	4468.0	132.0	10.8	
202062447.0	0.0	1.0	6737.0	25.0	11.2	
202062436.0	0.0	1.0	7033.0	25.0	11.6	
202062419.0	0.0	1.0	5044.0	18.0	9.1	
202062417.0	0.0	1.0	5765.0	18.0	8.8	
202062240.0	0.0	1.0	5189.0	25.0	11.7	
202062234.0	0.0	1.0	5841.0	18.0	11.8	
202062230.0	0.0	1.0	6566.0	25.0	11.8	
202062229.0	0.0	1.0	6710.0	25.0	11.2	
202062227.0	0.0	1.0	6249.0	25.0	11.7	
202062226.0	0.0	1.0	5802.0	25.0	11.5	
202062222.0	0.0	1.0	6985.0	25.0	11.6	
202062219.0	0.0	1.0	5991.0	25.0	10.4	
202062207.0	0.0	1.0	6109.0	25.0	11.7	
202062206.0	0.0	1.0	7370.0	79.0	10.5	
202062204.0	0.0	1.0	6809.0	25.0	12.4	
202062202.0	0.0	1.0	7211.0	96.0	11.9	
202062200.0	0.0	1.0	6951.0	25.0	11.9	
202062198.0	0.0	1.0	6443.0	25.0	12.6	
202062183.0	0.0	1.0	6247.0	25.0	11.5	
202062176.0	0.0	1.0	5974.0	25.0	11.0	
202062175.0	0.0	1.0	-1.0	0.0	10.1	
202062172.0	0.0	1.0	4653.0	25.0	11.7	
202062157.0	0.0	1.0	5665.0	25.0	11.6	
202062156.0	0.0	1.0	6673.0	25.0	11.5	
202062150.0	0.0	1.0	5219.0	25.0	11.4	
202062136.0	0.0	1.0	-1.0	0.0	12.2	
202062132.0	0.0	1.0	7116.0	72.0	12.5	
202062129.0	0.0	1.0	4959.0	25.0	11.9	
202062120.0	0.0	1.0	4405.0	25.0	10.7	
202062114.0	0.0	1.0	7163.0	25.0	12.5	
202062111.0	0.0	1.0	5935.0	25.0	12.1	
202062107.0	0.0	1.0	7110.0	79.0	10.2	
202062106.0	0.0	1.0	5903.0	25.0	11.8	
202062105.0	0.0	1.0	7252.0	132.0	11.9	
202062095.0	0.0	1.0	6935.0	25.0	12.0	
202062090.0	0.0	1.0	6893.0	25.0	10.9	
202062081.0	0.0	1.0	5929.0	79.0	11.5	
202062078.0	0.0	1.0	6982.0	79.0	9.9	
202062077.0	0.0	1.0	-1.0	0.0	11.8	
202062075.0	0.0	1.0	6312.0	25.0	11.4	
202062065.0	0.0	1.0	6931.0	25.0	12.2	
202062064.0	0.0	1.0	5944.0	25.0	11.1	
202062063.0	0.0	1.0	5975.0	25.0	12.6	
202062060.0	0.0	1.0	7277.0	79.0	10.7	
202062054.0	0.0	1.0	5995.0	79.0	11.6	
202062050.0	0.0	1.0	-1.0	0.0	9.9	
202061814.0	0.0	1.0	5574.0	25.0	13.3	
202061771.0	0.0	1.0	1.0	0.0	18.2	
202061363.0	0.0	0.0	4616.0	25.0	11.0	
202061353.0	0.0	1.0	6830.0	18.0	9.8	
