Candidate Period Period_err Ref_midtime Ref_midtime_err
201130233 0.3654295159733684 0.000169083321356 -0.014651760351967833 0.00276611913144
Based on stacks of 11 consecutive transits
x_days OminusC OminusC_err y_fit y_fit_minus y_fit_plus
-2.0089352540671825 0.0044083745920556194 0.3963671610357363 -0.020816084270951052 -0.01463264898302441 -0.026999519558875917
-1.599425460677594 -0.00874401792350571 0.0012409416567903111 -0.02074705700149515 -0.014632862989563122 -0.026861251013425402
2.41844504699111 -0.0062736416854372035 0.006924414116219299 -0.02006980181821305 -0.014634962696497666 -0.025504640939930212
18.489927077665925 -0.03936611216790181 0.0011994295206413663 -0.017360781085089982 -0.01464336152423229 -0.020078200645948563
22.50779758533463 -0.017115428746554168 0.005076756627870435 -0.01668352590180966 -0.014645461231165946 -0.018721590572453373
26.525668093003333 -0.01916141080965067 0.007761439213696869 -0.016006270718528892 -0.014647560938100046 -0.017364980498958182
30.543538600672036 -0.01286652326940596 0.0009172257099186921 -0.015329015535248347 -0.014649660645033924 -0.016008370425462992
34.56140910834074 -0.018629032554396824 0.00954167849609944 -0.014651760351967833 -0.014651760351967833 -0.014651760351967833
38.579279616009444 9.894462660015035e-05 0.008107384690965601 -0.013974505168687257 -0.01465386005890168 -0.013295150278472612
42.59715012367815 -0.01648534496206755 0.00098145778615144 -0.013297249985406712 -0.014655959765835558 -0.011938540204977421
46.61502063134685 -0.00687646829800348 0.0008164468248713565 -0.012619994802125944 -0.014658059472769658 -0.010581930131482231
50.632891139015555 -0.02061300555532769 0.005383618570635392 -0.011942739618845621 -0.014660159179703314 -0.009225320057987041
54.65076164668426 -0.02519425048680865 0.004234345578262373 -0.011265484435565298 -0.014662258886637858 -0.007868709984492739
58.66863215435296 -0.01039395632008272 0.006654599988924198 -0.010588229252284975 -0.014664358593572402 -0.006512099910997549
62.68650266248733 -0.01279645295139506 0.007624716453620468 -0.009910974068926492 -0.014666458300506946 -0.005155489837346039
