candidate    	201796374
P	0.412221911987	(None, None)
mt	0.20836898	(0.00117633, 0.00117633)
mt_bjd	2456844.67348	(0.00117633, 0.00117633)
rp	0.033792	(0.00274, 0.010959)
a	5.509092	(1.273322, 5.94217)
i	89.745092	(4.66643, 5.249734)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.459632	(None, None)
ldc2	0.793106	(None, None)
ldc3	-0.58771	(None, None)
ldc4	0.147559	(None, None)
L0	0.0	(None, None)
N0	1.000075	(2.1e-05, 1.8e-05)
Q0	0.0	(None, None)
planet-r_earth    	1.047	(0.165,0.291)
star-r_sun        	0.26	(0.02,0.02)
total_duration_hrs 	0.471	(0.209,0.233)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.20833474587391732	(0.001029,0.001176)
EVEN_radius_ratio 	0.0328	(0.0018,0.011)
EVEN_a_over_R_star	5.366	(1.2717,5.5106)
EVEN_inclination  	89.666	(4.5575,0.4143)
ODD_midtime       	0.20837915478773444	(0.001166,0.001166)
ODD_radius_ratio  	0.0341	(0.0029,0.0114)
ODD_a_over_R_star 	5.3571	(1.3151,6.1369)
ODD_inclination   	89.55	(4.5068,0.4097)
EVEN_RR - RR      	0.000993	0.015508
ODD_RR - RR       	-0.000322	0.015816
ODD_RR - EVEN_RR  	0.001316	0.015825
EVEN_RR - RR sigma	0.06
ODD_RR - RR sigma 	-0.02
ODD_RR - EVEN_RR sigma	0.08
