candidate    	205002291
P	0.85794149416	(None, None)
mt	0.42141473	(0.0013379, 0.00240822)
mt_bjd	2456895.58103	(0.0013379, 0.00240822)
rp	0.024124	(0.001288, 0.002577)
a	5.956914	(1.40055, 1.40055)
i	90.567842	(6.691821, 6.691821)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.482104	(None, None)
ldc2	0.743649	(None, None)
ldc3	-0.55888	(None, None)
ldc4	0.145416	(None, None)
L0	0.0	(None, None)
N0	1.000019	(1.1e-05, 1.3e-05)
Q0	0.0	(None, None)
planet-r_earth    	0.835	(0.169,0.185)
star-r_sun        	0.31	(0.06,0.06)
total_duration_hrs 	1.148	(0.202,0.418)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.4219781527095661	(0.001916,0.002189)
EVEN_radius_ratio 	0.0243	(0.0013,0.0026)
EVEN_a_over_R_star	5.992	(1.4401,1.4401)
EVEN_inclination  	89.2	(5.9772,0.5434)
ODD_midtime       	0.42161310791637446	(0.001624,0.002437)
ODD_radius_ratio  	0.0242	(0.0013,0.0026)
ODD_a_over_R_star 	6.078	(1.6443,1.2789)
ODD_inclination   	89.431	(6.3282,0.5753)
EVEN_RR - RR      	-0.000175	0.003662
ODD_RR - RR       	-8.7e-05	0.003691
ODD_RR - EVEN_RR  	-8.8e-05	0.003708
EVEN_RR - RR sigma	-0.05
ODD_RR - RR sigma 	-0.02
ODD_RR - EVEN_RR sigma	-0.02
