candidate    	210707130
P	0.684559359018	(None, None)
mt	0.34328037	(0.00042133, 0.00056177)
mt_bjd	2457102.33296	(0.00042133, 0.00056177)
rp	0.015472	(0.000321, 0.000883)
a	6.114867	(0.709169, 0.354585)
i	89.368852	(3.71007, 5.565105)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.646174	(None, None)
ldc2	-0.657716	(None, None)
ldc3	1.367279	(None, None)
ldc4	-0.524563	(None, None)
L0	0.0	(None, None)
N0	1.000009	(2e-06, 2e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.168	(0.066,0.08)
star-r_sun        	0.68	(0.03,0.03)
total_duration_hrs 	0.896	(0.06,0.143)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.34323517914953156	(0.000424,0.000636)
EVEN_radius_ratio 	0.0155	(0.0004,0.001)
EVEN_a_over_R_star	6.0776	(0.8012,0.3642)
EVEN_inclination  	89.235	(4.1713,0.7584)
ODD_midtime       	0.34329354086638314	(0.00049,0.00056)
ODD_radius_ratio  	0.0155	(0.0003,0.0009)
ODD_a_over_R_star 	6.1201	(0.7653,0.3827)
ODD_inclination   	89.628	(4.283,0.3894)
EVEN_RR - RR      	-5.6e-05	0.001338
ODD_RR - RR       	-1.4e-05	0.001283
ODD_RR - EVEN_RR  	-4.1e-05	0.00137
EVEN_RR - RR sigma	-0.04
ODD_RR - RR sigma 	-0.01
ODD_RR - EVEN_RR sigma	-0.03
