candidate    	211357309
P	0.463974428134	(None, None)
mt	0.23581588	(0.00079162, 0.00090471)
mt_bjd	2457189.86394	(0.00079162, 0.00090471)
rp	0.015867	(0.000547, 0.001094)
a	4.286908	(0.747224, 0.49815)
i	90.699247	(7.49421, 8.564811)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.673768	(None, None)
ldc2	0.074091	(None, None)
ldc3	0.042023	(None, None)
ldc4	0.013937	(None, None)
L0	0.0	(None, None)
N0	1.000018	(3e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	0.812	(0.065,0.073)
star-r_sun        	0.46	(0.03,0.03)
total_duration_hrs 	0.869	(0.101,0.226)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.23586260315231936	(0.000797,0.000797)
EVEN_radius_ratio 	0.016	(0.0006,0.0011)
EVEN_a_over_R_star	4.3488	(0.791,0.4395)
EVEN_inclination  	88.459	(7.5363,1.3702)
ODD_midtime       	0.2359614623935104	(0.000913,0.000799)
ODD_radius_ratio  	0.0159	(0.0006,0.0011)
ODD_a_over_R_star 	4.2122	(0.773,0.5154)
ODD_inclination   	89.057	(7.4811,0.6801)
EVEN_RR - RR      	-9.5e-05	0.001573
ODD_RR - RR       	-3.2e-05	0.001583
ODD_RR - EVEN_RR  	-6.3e-05	0.001609
EVEN_RR - RR sigma	-0.06
ODD_RR - RR sigma 	-0.02
ODD_RR - EVEN_RR sigma	-0.04
