candidate    	205152172
P	0.980087960668	(None, None)
mt	0.49018867	(0.00091967, 0.00105105)
mt_bjd	2456895.59262	(0.00091967, 0.00105105)
rp	0.02004	(0.00053, 0.001589)
a	6.613168	(1.095671, 0.547836)
i	89.551382	(4.760607, 5.440694)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.612702	(None, None)
ldc2	-0.110329	(None, None)
ldc3	0.485149	(None, None)
ldc4	-0.149447	(None, None)
L0	0.0	(None, None)
N0	1.000016	(4e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.187	(0.208,0.218)
star-r_sun        	0.53	(0.09,0.09)
total_duration_hrs 	1.196	(0.112,0.284)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.4899865366173173	(0.000791,0.001055)
EVEN_radius_ratio 	0.0199	(0.0005,0.0016)
EVEN_a_over_R_star	6.7815	(1.1601,0.58)
EVEN_inclination  	89.625	(4.7215,0.4292)
ODD_midtime       	0.490116395617018	(0.000945,0.001081)
ODD_radius_ratio  	0.0201	(0.0005,0.0016)
ODD_a_over_R_star 	6.656	(1.1296,0.5648)
ODD_inclination   	89.331	(4.6322,0.4211)
EVEN_RR - RR      	0.00011	0.002281
ODD_RR - RR       	-3.6e-05	0.002266
ODD_RR - EVEN_RR  	0.000146	0.002298
EVEN_RR - RR sigma	0.05
ODD_RR - RR sigma 	-0.02
ODD_RR - EVEN_RR sigma	0.06
