candidate    	201461352
P	0.696099457252	(None, None)
mt	0.35044381	(0.00195301, 0.00292952)
mt_bjd	2456858.64842	(0.00195301, 0.00292952)
rp	0.033147	(0.003576, 0.010727)
a	5.942674	(1.881989, 6.116465)
i	90.141474	(4.984961, 5.608081)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.431692	(None, None)
ldc2	0.792698	(None, None)
ldc3	-0.517977	(None, None)
ldc4	0.107552	(None, None)
L0	0.0	(None, None)
N0	1.000071	(2.6e-05, 3.5e-05)
Q0	0.0	(None, None)
planet-r_earth    	0.592	(0.088,0.158)
star-r_sun        	0.15	(0.0,0.0)
total_duration_hrs 	0.751	(0.336,0.443)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.3502518805018085	(0.001905,0.002857)
EVEN_radius_ratio 	0.0334	(0.0035,0.0105)
EVEN_a_over_R_star	5.9743	(1.7521,5.6942)
EVEN_inclination  	89.526	(5.0947,0.4632)
ODD_midtime       	0.35061169023395394	(0.001928,0.002892)
ODD_radius_ratio  	0.0333	(0.0035,0.0095)
ODD_a_over_R_star 	6.084	(1.8,5.4001)
ODD_inclination   	89.466	(4.9207,0.4473)
EVEN_RR - RR      	-0.000262	0.015019
ODD_RR - RR       	-0.000171	0.014341
ODD_RR - EVEN_RR  	-9.1e-05	0.014181
EVEN_RR - RR sigma	-0.02
ODD_RR - RR sigma 	-0.01
ODD_RR - EVEN_RR sigma	-0.01
