T_folded	Flux	T_half	T_double	T_raw
0.00012815504566004998	0.9999801316	0.00012815504566004998	0.35501188314966003	2457006.892909
0.000317661947022263	1.0000947412	0.000317661947022263	0.35520139005102225	2457023.21775
0.00044898907778517794	1.0007369242	0.00044898907778517794	0.35533271718178516	2457000.150439
0.0004631694446693424	1.0009040569	0.0004631694446693424	0.3553468975486693	2457039.542547
0.0006964959551267191	0.9990146842	0.0006964959551267191	0.3555802240591267	2457016.475338
0.0007318228205595578	1.0002481114	0.0007318228205595578	0.35561555092455954	2456993.407931
0.0008440034680027853	1.000371749	0.0008440034680027853	0.35572773157200277	2457032.800137
0.0009676569039446803	1.0003262055	0.0009676569039446803	0.35585138500794466	2456986.665376
0.0010583300666154316	0.9998716858	0.0010583300666154316	0.3559420581706154	2457009.732909
0.0011514905913761475	0.9999913546	0.0011514905913761475	0.35603521869537613	2456979.922769
0.001230837071361901	1.0007483563	0.001230837071361901	0.3561145651753619	2457026.057733
0.0013813443742508036	1.0003372555	0.0013813443742508036	0.3562650724782508	2457042.382535
0.0013931642053434667	0.9991707564	0.0013931642053434667	0.35627689230934345	2457002.990453
0.0016146713503694676	0.9995575383	0.0016146713503694676	0.35649839945436945	2457019.315326
0.0016929978447335903	1.0008142988	0.0016929978447335903	0.3565767259487336	2456996.247962
0.0019498318551924299	0.9996265265	0.0019498318551924299	0.3568335599591924	2456989.505428
0.0019845050571128398	1.0000964569	0.0019845050571128398	0.3568682331611128	2457012.572905
0.0021430124209176893	0.9994983387	0.0021430124209176893	0.3570267405249177	2457028.897715
0.0021566659505878882	1.0005531084	0.0021566659505878882	0.3570403940545879	2456982.762844
0.0023045195747353753	1.0002445807	0.0023045195747353753	0.35718824767873536	2457045.222528
0.0023313392872147953	1.0007979939	0.0023313392872147953	0.3572150673912148	2457005.830461
0.0026471730484368128	0.9986687927	0.0026471730484368128	0.3575309011524368	2456999.087986
0.002672353731911048	0.9998469102	0.002672353731911048	0.35755608183591103	2457038.480105
0.0029056802423684247	1.0003827873	0.0029056802423684247	0.3577894083463684	2457015.412896
0.0029230069707403827	1.0013415096	0.0029230069707403827	0.35780673507474037	2456992.345471
0.0030551877704734776	1.0001514173	0.0030551877704734776	0.35793891587447346	2457031.737697
0.0031518412336546953	0.998749335	0.0031518412336546953	0.3580355693376547	2456985.602909
0.0032635143233991637	1.0013365579	0.0032635143233991637	0.35814724242739915	2457008.670463
0.003326675085386366	1.0000572806	0.003326675085386366	0.35821040318938635	2456978.860293
0.0034430216142777303	1.0012852872	0.0034430216142777303	0.3583267497182777	2457024.995294
0.003590528661492509	1.0002734697	0.003590528661492509	0.3584742567654925	2457041.320093
0.0035943484316692254	0.9998166524	0.0035943484316692254	0.3584780765356692	2457001.928003
0.003824855412395023	0.9992947072	0.003824855412395023	0.358708583516395	2457018.252885
0.0039683628948131155	0.9987970439	0.0039683628948131155	0.3588520909988131	2457034.57768
0.004137016440576569	0.999743064	0.004137016440576569	0.35902074454457655	2456988.442964
0.004191689329125559	1.0001762152	0.004191689329125559	0.35907541743312554	2457011.510461
0.004334850234610943	1.0000029761	0.004334850234610943	0.3592185783386109	2456981.700371
0.004355196963833519	1.0005290413	0.004355196963833519	0.3592389250678335	2457027.835276
0.004511703846748094	0.9991789417	0.004511703846748094	0.3593954319507481	2457044.160084
0.004534523528769541	1.0002017151	0.004534523528769541	0.3594182516327695	2457004.768013
0.004740030551963648	1.0009945154	0.004740030551963648	0.35962375865596363	2457021.09287
0.004844357709965885	1.0003169562	0.004844357709965885	0.35972808581396587	2456998.025532
0.00488353803438174	1.0010895089	0.00488353803438174	0.3597672661383817	2457037.417665
0.005113191346137358	0.9998063229	0.005113191346137358	0.35999691945013734	2456991.28301
0.00511486452961013	0.9994456711	0.00511486452961013	0.3599985926336101	2457014.350454
0.00526737184772802	1.0000092444	0.00526737184772802	0.360151099951728	2457030.675258
0.0053330253076905865	0.9999224478	0.0053330253076905865	0.36021675341169057	2456984.540439
0.005468698580182896	0.9999883825	0.005468698580182896	0.3603524266841829	2457007.608017
0.00549885932372246	1.000434922	0.00549885932372246	0.36038258742772245	2456977.797814
0.005654205916748423	0.9984191293	0.005654205916748423	0.3605379340207484	2457023.932854
0.005793532642765997	1.000338813	0.005793532642765997	0.360677260746766	2457000.865551
0.005799712948734215	0.9999375551	0.005799712948734215	0.3606834410527342	2457040.257651
0.0060340396996367285	0.9996814996	0.0060340396996367285	0.3609177678036367	2457017.190443
0.006080366415998351	1.0008742037	0.006080366415998351	0.36096409451999834	2456994.123047
0.006179547197283808	0.9989481654	0.006179547197283808	0.3610632753012838	2457033.51524
0.006322200545070433	1.0000376689	0.006322200545070433	0.3612059286490704	2456987.380498
0.006397873826354428	1.0006442511	0.006397873826354428	0.3612816019303544	2457010.448016
0.006512034743850148	1.0000277792	0.006512034743850148	0.36139576284785013	2456980.637897
0.006566381266304211	0.999717299	0.006566381266304211	0.3614501093703042	2457026.772836
0.00671988835920595	0.9995628226	0.00671988835920595	0.36160361646320593	2457043.097641
0.006736707995540436	1.00111176	0.006736707995540436	0.3616204360995404	2457003.705564
0.00695121485443434	1.0006646992	0.00695121485443434	0.3618349429584343	2457020.03043
0.007040541665388533	0.9996991984	0.007040541665388533	0.3619242697693885	2456996.963077
0.0070937220964072956	0.9993653563	0.0070937220964072956	0.3619774502004073	2457036.355224
0.007301375706305346	1.0010316263	0.007301375706305346	0.36218510381030533	2456990.220547
0.007323049042067986	1.0006129271	0.007323049042067986	0.36220677714606797	2457013.288011
