candidate    	212157262
P	0.774010391409	(None, None)
mt	0.40685471	(0.00184696, 0.00161609)
mt_bjd	2457184.43637	(0.00184696, 0.00161609)
rp	0.013162	(0.000528, 0.001057)
a	3.902238	(0.770184, 0.385092)
i	89.684826	(7.904263, 11.856394)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.583751	(None, None)
ldc2	-0.26809	(None, None)
ldc3	0.90132	(None, None)
ldc4	-0.438451	(None, None)
L0	0.0	(None, None)
N0	1.000009	(3e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.209	(0.172,0.184)
star-r_sun        	0.83	(0.11,0.11)
total_duration_hrs 	1.637	(0.189,0.494)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.40601152563811455	(0.001398,0.002097)
EVEN_radius_ratio 	0.0132	(0.0006,0.0011)
EVEN_a_over_R_star	3.8833	(0.7559,0.3779)
EVEN_inclination  	89.119	(9.0226,0.8202)
ODD_midtime       	0.4062139340837058	(0.001597,0.001825)
ODD_radius_ratio  	0.013	(0.0005,0.0011)
ODD_a_over_R_star 	3.8375	(0.7429,0.3715)
ODD_inclination   	88.964	(8.9709,0.8155)
EVEN_RR - RR      	-6.3e-05	0.001497
ODD_RR - RR       	0.000133	0.001512
ODD_RR - EVEN_RR  	-0.000197	0.001514
EVEN_RR - RR sigma	-0.04
ODD_RR - RR sigma 	0.09
ODD_RR - EVEN_RR sigma	-0.13
