candidate    	212610063
P	0.435139892219	(None, None)
mt	0.22925897	(0.00184176, 0.00210487)
mt_bjd	2457272.1437	(0.00184176, 0.00210487)
rp	0.013121	(0.000935, 0.001403)
a	3.041592	(0.642179, 0.561907)
i	88.129899	(12.309737, 15.826805)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.5754	(None, None)
ldc2	-0.357867	(None, None)
ldc3	1.068325	(None, None)
ldc4	-0.497739	(None, None)
L0	0.0	(None, None)
N0	1.000018	(6e-06, 6e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.104	(0.155,0.176)
star-r_sun        	0.77	(0.09,0.09)
total_duration_hrs 	1.154	(0.196,0.387)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.22933354290233116	(0.001865,0.002131)
EVEN_radius_ratio 	0.0129	(0.0009,0.0016)
EVEN_a_over_R_star	3.0797	(0.7053,0.5486)
EVEN_inclination  	88.931	(12.2267,1.1115)
ODD_midtime       	0.2293928748552722	(0.001839,0.002102)
ODD_radius_ratio  	0.0132	(0.0011,0.0014)
ODD_a_over_R_star 	3.0461	(0.72,0.56)
ODD_inclination   	89.419	(12.0634,1.0967)
EVEN_RR - RR      	0.000234	0.002094
ODD_RR - RR       	-3.1e-05	0.001972
ODD_RR - EVEN_RR  	0.000265	0.002082
EVEN_RR - RR sigma	0.11
ODD_RR - RR sigma 	-0.02
ODD_RR - EVEN_RR sigma	0.13
