candidate    	201438507
P	0.326563534149	(None, None)
mt	0.1696123	(0.00125328, 0.00143232)
mt_bjd	2457611.32309	(0.00125328, 0.00143232)
rp	0.014485	(0.000957, 0.003827)
a	3.507749	(0.752996, 2.635484)
i	89.346645	(7.420441, 9.540566)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.514209	(None, None)
ldc2	-0.023995	(None, None)
ldc3	0.597394	(None, None)
ldc4	-0.32802	(None, None)
L0	0.0	(None, None)
N0	1.000028	(6e-06, 7e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.543	(0.253,0.369)
star-r_sun        	0.89	(0.1,0.1)
total_duration_hrs 	0.64	(0.249,0.254)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	0.16956979705957828	(0.001254,0.001434)
EVEN_radius_ratio 	0.0149	(0.0013,0.004)
EVEN_a_over_R_star	3.5394	(0.7656,2.6795)
EVEN_inclination  	89.015	(7.7356,0.7032)
ODD_midtime       	0.1693514324324973	(0.001104,0.001472)
ODD_radius_ratio  	0.0145	(0.001,0.0038)
ODD_a_over_R_star 	3.3389	(0.7578,2.463)
ODD_inclination   	89.657	(7.9666,0.0)
EVEN_RR - RR      	-0.000448	0.005528
ODD_RR - RR       	-6.5e-05	0.005419
ODD_RR - EVEN_RR  	-0.000384	0.005535
EVEN_RR - RR sigma	-0.08
ODD_RR - RR sigma 	-0.01
ODD_RR - EVEN_RR sigma	-0.07
