candidate    	212157262_p2
P	2.87151177359	(None, None)
mt	1.411206	(0.00239783, 0.00274038)
mt_bjd	2457144.63842	(0.00239783, 0.00274038)
rp	0.015439	(0.000665, 0.001462)
a	9.210758	(2.160093, 0.785488)
i	90.395557	(4.177954, 4.774805)
e	0.0	(None, None)
w	1.0	(None, None)
ldc1	0.583751	(None, None)
ldc2	-0.26809	(None, None)
ldc3	0.90132	(None, None)
ldc4	-0.438451	(None, None)
L0	0.0	(None, None)
N0	1.000021	(3e-06, 4e-06)
Q0	0.0	(None, None)
planet-r_earth    	1.422	(0.204,0.224)
star-r_sun        	0.83	(0.11,0.11)
total_duration_hrs 	2.584	(0.293,0.937)
In-centroid     	None	None
Out-centroid    	None	None
In-minus-out    	0.0	0.0
EVEN_midtime      	1.4109102932603206	(0.002042,0.003063)
EVEN_radius_ratio 	0.0152	(0.0005,0.0014)
EVEN_a_over_R_star	9.2682	(2.1179,0.7701)
EVEN_inclination  	89.82	(4.2435,0.3536)
ODD_midtime       	1.4117009784374948	(0.002404,0.002748)
ODD_radius_ratio  	0.0154	(0.0006,0.0014)
ODD_a_over_R_star 	9.2955	(2.0553,0.7474)
ODD_inclination   	89.799	(3.8793,0.3527)
EVEN_RR - RR      	0.00021	0.002055
ODD_RR - RR       	2.9e-05	0.002045
ODD_RR - EVEN_RR  	0.000182	0.002032
EVEN_RR - RR sigma	0.1
ODD_RR - RR sigma 	0.01
ODD_RR - EVEN_RR sigma	0.09
